iter	Logloss	Precision:use_weights=true	Precision:use_weights=false
0	0.6764809331	0.7440236769	0.438919775
1	0.6612353338	0.7466480808	0.4423276526
2	0.6476316972	0.7449928246	0.4401749039
3	0.6352914394	0.7452151633	0.4404634021
4	0.624447669	0.7434684248	0.4382024307
5	0.6147245828	0.7418113551	0.4360691809
6	0.6059812498	0.7411413452	0.4352098359
7	0.597669132	0.7416061431	0.4358057838
8	0.59021769	0.7417541431	0.4359957298
9	0.5835390277	0.7423676182	0.4367840337
10	0.5778296015	0.741925313	0.4362155246
11	0.5723723322	0.7404962612	0.4343841937
12	0.5673383831	0.7418582591	0.4361294081
13	0.562684046	0.741600061	0.4357979798
14	0.5588484956	0.7422070069	0.436577502
15	0.5550807825	0.7426370256	0.4371307058
16	0.5514326026	0.743397861	0.4381113589
17	0.5482299299	0.7435191324	0.4382678882
18	0.5454975929	0.7418492791	0.4361178767
19	0.5427871027	0.7418337887	0.4360979858
20	0.5403703066	0.7431519	0.4377940747
21	0.5382254411	0.7427627432	0.4372925807
22	0.5362712483	0.7429190467	0.4374939291
23	0.534459457	0.7428876394	0.4374534624
24	0.5327055755	0.742424585	0.4368573135
25	0.5310935647	0.743052492	0.4376659113
26	0.5295518723	0.7433032893	0.4379893339
27	0.5281349607	0.7455973791	0.4409598324
28	0.5268910827	0.7463844004	0.4419839548
29	0.5256951806	0.7469409258	0.4427097072
30	0.5246939473	0.7471420163	0.4429722648
31	0.5236322498	0.7470744202	0.4428839877
32	0.5226547222	0.7474766969	0.4434096238
33	0.5216560923	0.7476920614	0.4436913107
34	0.5208005128	0.7476193808	0.443596226
35	0.5199498741	0.7477090466	0.4437135349
36	0.5191386895	0.747912077	0.4439792828
37	0.5183145678	0.7479711511	0.4440566381
38	0.517589638	0.7482657357	0.444442605
39	0.5169338113	0.7482489	0.4444205369
40	0.516302314	0.7486084334	0.444892072
41	0.5157726521	0.7493308805	0.4458412318
42	0.5152349822	0.7491842293	0.4456483805
43	0.5147949774	0.7499040101	0.4465957943
44	0.5143248635	0.749973567	0.4466874656
45	0.5138312506	0.7498154858	0.4464791549
46	0.5133682738	0.7505746942	0.4474805716
47	0.5129754272	0.7508753339	0.4478778044
48	0.5125633427	0.7511073086	0.4481845752
49	0.5122056052	0.7519535116	0.4493055789
50	0.5118152875	0.7518431726	0.4491592333
51	0.511429183	0.7521597554	0.4495792662
52	0.5110773054	0.7527940683	0.4504221547
53	0.5107828275	0.7529179271	0.4505869437
54	0.5105182283	0.7532712207	0.4510573507
55	0.5102139878	0.753210463	0.4509764139
56	0.5099263107	0.7539036167	0.4519007311
57	0.5096983568	0.7539941212	0.4520215725
58	0.5094240078	0.7542773378	0.4523999525
59	0.5092039501	0.754320566	0.4524577364
60	0.5089489038	0.7546884116	0.4529497723
