iter	Passed	Remaining
0	19	5685
1	54	8049
2	76	7573
3	92	6858
4	121	7176
5	152	7486
6	166	6964
7	179	6563
8	191	6183
9	206	5989
10	218	5743
11	230	5530
12	242	5342
13	254	5194
14	266	5054
15	277	4934
16	289	4822
17	301	4728
18	315	4662
19	330	4623
20	342	4554
21	357	4522
22	372	4481
23	384	4420
24	398	4384
25	411	4337
26	422	4276
27	434	4225
28	446	4174
29	458	4126
30	470	4083
31	482	4043
32	494	4003
33	507	3968
34	518	3926
35	530	3888
36	541	3852
37	553	3819
38	566	3788
39	577	3751
40	589	3723
41	601	3692
42	612	3659
43	628	3657
44	650	3687
45	673	3717
46	700	3771
47	717	3769
48	735	3768
49	750	3751
50	762	3724
51	775	3697
52	790	3683
53	804	3663
54	817	3643
55	834	3636
56	846	3608
57	858	3581
58	870	3554
59	885	3543
60	908	3558
61	926	3557
62	938	3530
63	950	3506
64	963	3483
65	976	3460
66	988	3437
67	1000	3412
68	1012	3389
69	1024	3366
70	1036	3344
71	1049	3322
72	1066	3317
73	1102	3367
74	1127	3381
75	1139	3357
76	1151	3334
77	1163	3311
78	1183	3309
79	1200	3300
80	1212	3278
81	1225	3257
82	1246	3258
83	1270	3267
84	1282	3243
85	1294	3220
86	1309	3206
87	1321	3183
88	1333	3161
89	1345	3139
90	1357	3118
91	1369	3097
92	1382	3077
93	1394	3056
94	1406	3034
95	1418	3014
96	1431	2994
97	1443	2975
98	1456	2957
99	1473	2947
100	1486	2928
101	1498	2908
102	1510	2888
103	1522	2868
104	1539	2859
105	1555	2846
106	1567	2826
107	1584	2816
108	1597	2798
109	1609	2779
110	1621	2760
111	1633	2742
112	1646	2724
113	1658	2705
114	1674	2694
115	1688	2678
116	1708	2672
117	1721	2654
118	1732	2635
119	1744	2617
120	1771	2620
121	1806	2636
122	1841	2650
123	1881	2670
124	1900	2660
125	1920	2651
126	1953	2660
127	1970	2647
128	1982	2627
129	1998	2613
130	2011	2594
131	2022	2574
132	2034	2554
133	2046	2534
134	2057	2515
135	2069	2495
136	2082	2478
137	2095	2460
138	2107	2441
139	2125	2429
140	2139	2412
141	2150	2393
142	2162	2374
143	2177	2359
144	2189	2340
145	2201	2321
146	2213	2303
147	2225	2285
148	2237	2267
149	2249	2249
150	2261	2231
151	2274	2214
152	2286	2196
153	2301	2182
154	2312	2163
155	2324	2145
156	2336	2128
157	2353	2115
158	2366	2098
159	2378	2080
160	2390	2064
161	2402	2046
162	2413	2028
163	2426	2011
164	2437	1994
165	2450	1978
166	2462	1961
167	2474	1944
168	2486	1927
169	2501	1912
170	2533	1911
171	2566	1910
172	2579	1893
173	2592	1877
174	2604	1860
175	2616	1843
176	2628	1826
177	2640	1810
178	2652	1793
179	2664	1776
180	2676	1759
181	2687	1742
182	2698	1725
183	2711	1709
184	2722	1692
185	2735	1676
186	2747	1660
187	2759	1644
188	2778	1632
189	2792	1616
190	2806	1601
191	2819	1585
192	2831	1569
193	2847	1556
194	2860	1540
195	2876	1526
196	2888	1510
197	2900	1494
198	2913	1478
199	2924	1462
200	2935	1445
201	2947	1430
202	2958	1413
203	2971	1398
204	2982	1382
205	2995	1366
206	3006	1350
207	3019	1335
208	3031	1320
209	3043	1304
210	3055	1288
211	3067	1273
212	3078	1257
213	3092	1242
214	3103	1227
215	3116	1211
216	3129	1196
217	3140	1181
218	3152	1165
219	3164	1150
220	3175	1135
221	3187	1120
222	3199	1104
223	3211	1089
224	3223	1074
225	3235	1059
226	3247	1044
227	3261	1029
228	3284	1018
229	3299	1004
230	3312	989
231	3323	974
232	3335	959
233	3351	945
234	3363	930
235	3375	915
236	3387	900
237	3398	885
238	3410	870
239	3422	855
240	3439	842
241	3454	828
242	3466	813
243	3478	798
244	3494	784
245	3507	769
246	3519	755
247	3531	740
248	3542	725
249	3555	711
250	3566	696
251	3578	681
252	3590	667
253	3602	652
254	3615	637
255	3626	623
256	3639	608
257	3652	594
258	3664	580
259	3676	565
260	3687	551
261	3699	536
262	3712	522
263	3723	507
264	3735	493
265	3749	479
266	3766	465
267	3785	452
268	3797	437
269	3809	423
270	3826	409
271	3838	395
272	3850	380
273	3862	366
274	3882	352
275	3905	339
276	3927	326
277	3939	311
278	3950	297
279	3963	283
280	3975	268
281	3986	254
282	3998	240
283	4010	225
284	4022	211
285	4035	197
286	4061	183
287	4075	169
288	4089	155
289	4106	141
290	4122	127
291	4134	113
292	4147	99
293	4159	84
294	4171	70
295	4184	56
296	4196	42
297	4208	28
298	4220	14
299	4232	0
